item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
Smartphone Sync,Arbeitsplatz Software Schale 2,623,0.042929988974641675,1805,0.12437982359426682,37637,2.5935088202866594,0.3451523545706371,0.01655286021733932,0.13308316203547269
Arbeitsplatz Software Schale 2,Internet,1200,0.08269018743109151,37637,2.5935088202866594,3589,0.24731256890848952,0.031883518877700134,0.33435497353023125,0.12891992921515308
Speichererweiterung SharePoint,Arbeitsplatz Software Schale 2,491,0.03383406835722161,1510,0.10405181918412348,37637,2.5935088202866594,0.32516556291390725,0.013045673140792304,0.12537669444978672
Smartdevice Sync Private,Arbeitsplatz Software Schale 2,517,0.03562568908489526,1605,0.11059812568908489,37637,2.5935088202866594,0.3221183800623053,0.013736482716475809,0.1242017677143283
Arbeitsplatz Software Schale 2,Digital Asset Management SD,492,0.03390297684674752,37637,2.5935088202866594,1542,0.1062568908489526,0.013072242739857055,0.31906614785992216,0.12302489406018521
Unpersönliche Mailbox,Arbeitsplatz Software Schale 2,1114,0.07676405733186328,3556,0.2450385887541345,37637,2.5935088202866594,0.31327334083239594,0.029598533358131625,0.12079131498684087
Arbeitsplatz Software Schale 2,Software Schale 3a,850,0.05857221609702315,37637,2.5935088202866594,2790,0.19225468577728777,0.022584159205037594,0.3046594982078853,0.11747000658907009
Verzeichnis und Adressdienste,Multifunktionsgeräte,284,0.019570011025358325,6045,0.4165518191841235,5846,0.40283902976846747,0.04698097601323408,0.04858022579541567,0.11662468763326256
Verzeichnis und Adressdienste,Verzeichnis und Adressdienste,288,0.019845644983461964,6045,0.4165518191841235,6045,0.4165518191841235,0.04764267990074442,0.04764267990074442,0.11437395710828835
Verzeichnis und Adressdienste,Mobile Abo Voice und Data,376,0.025909592061742006,6045,0.4165518191841235,7910,0.5450661521499449,0.06220016542597188,0.04753476611883691,0.11411489262474132
Secure Printing,Arbeitsplatz Software Schale 2,562,0.03872657111356119,1944,0.13395810363836824,37637,2.5935088202866594,0.2890946502057613,0.014932114674389563,0.11146854328947599
Support BA / UCC,Arbeitsplatz Software Schale 2,518,0.03569459757442117,1806,0.12444873208379273,37637,2.5935088202866594,0.2868217054263566,0.013763052315540559,0.11059214573816423
Notebook,Multifunktionsgeräte,267,0.01839856670341786,6135,0.42275358324145534,5846,0.40283902976846747,0.04352078239608802,0.045672254533014024,0.10803516834280351
