Marktleistung,Verrechnungsbetrag,Periode,year
Arbeitsplatz Software Schale 2,2128.0,2021.01,2018
Secure Messaging Extern,66.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,106660.0,2021.01,2018
Arbeitsplatz Software Schale 3,275.0,2021.01,2018
Arbeitsplatz Software Schale 3,600.0,2021.01,2018
Arbeitsplatz Software Schale 3,500.0,2021.01,2018
Arbeitsplatz Software Schale 3,750.0,2021.01,2018
Arbeitsplatz Software Schale 3,18791.0,2021.01,2018
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,1248000.0,2021.01,2018
Arbeitsplatz Software Schale 3,774850.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,129600.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,164900.0,2021.01,2018
Internet,76.0,2021.01,2018
Internet,56.0,2021.01,2018
RAS-Wartung,990.0,2021.01,2018
Arbeitsplatz Software Schale 2,350.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,9.0,2021.01,2018
Arbeitsplatz Software Schale 2,1995.0,2021.01,2018
Arbeitsplatz Software Schale 2,3724.0,2021.01,2018
Arbeitsplatz Software Schale 2,430.0,2021.01,2018
Arbeitsplatz Software Schale 2,44961.0,2021.01,2018
Arbeitsplatz Software Schale 2,86912.0,2021.01,2018
Arbeitsplatz Software Schale 2,299.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Arbeitsplatz Software Schale 2,4123.0,2021.01,2018
Arbeitsplatz Software Schale 2,90.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,124.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Arbeitsplatz Software Schale 2,43092.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,108000.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,9.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,100.0,2021.01,2018
Arbeitsplatz Software Schale 3,100.0,2021.01,2018
Arbeitsplatz Software Schale 3,150.0,2021.01,2018
Arbeitsplatz Software Schale 3,4665.0,2021.01,2018
Arbeitsplatz Software Schale 3,145.0,2021.01,2018
Arbeitsplatz Software Schale 3,18791.0,2021.01,2018
Arbeitsplatz Software Schale 3,260.0,2021.01,2018
Arbeitsplatz Software Schale 3,111350.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Internet,28.0,2021.01,2018
RAS-Wartung,90.0,2021.01,2018
Arbeitsplatz Software Schale 2,113400.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,2261.0,2021.01,2018
Arbeitsplatz Software Schale 2,3192.0,2021.01,2018
Arbeitsplatz Software Schale 2,260.0,2021.01,2018
Arbeitsplatz Software Schale 2,2141.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,58394.0,2021.01,2018
Arbeitsplatz Software Schale 2,161.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Arbeitsplatz Software Schale 2,2793.0,2021.01,2018
Arbeitsplatz Software Schale 2,81.0,2021.01,2018
Arbeitsplatz Software Schale 2,112.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,1064.0,2021.01,2018
Arbeitsplatz Software Schale 2,4123.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Arbeitsplatz Software Schale 2,120.0,2021.01,2018
Arbeitsplatz Software Schale 2,1463.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,3.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,25.0,2021.01,2018
Arbeitsplatz Software Schale 3,200.0,2021.01,2018
Arbeitsplatz Software Schale 3,275.0,2021.01,2018
Arbeitsplatz Software Schale 3,225.0,2021.01,2018
Arbeitsplatz Software Schale 3,546000.0,2021.01,2018
Arbeitsplatz Software Schale 3,116000.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,170.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Internet,0.0,2021.01,2018
Internet,0.0,2021.01,2018
RAS-Wartung,90.0,2021.01,2018
Arbeitsplatz Software Schale 2,35.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,2141.0,2021.01,2018
Arbeitsplatz Software Schale 2,4074.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Arbeitsplatz Software Schale 2,1125.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,4256.0,2021.01,2018
Secure Messaging Extern,164.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,25.0,2021.01,2018
Arbeitsplatz Software Schale 3,25.0,2021.01,2018
Arbeitsplatz Software Schale 3,25.0,2021.01,2018
Arbeitsplatz Software Schale 3,8832.0,2021.01,2018
Arbeitsplatz Software Schale 3,173.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,371.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,90.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,75.0,2021.01,2018
Arbeitsplatz Software Schale 2,27833.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,59752.0,2021.01,2018
Arbeitsplatz Software Schale 2,299.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,3325.0,2021.01,2018
Arbeitsplatz Software Schale 2,135.0,2021.01,2018
Arbeitsplatz Software Schale 2,75.0,2021.01,2018
Arbeitsplatz Software Schale 2,136.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,266.0,2021.01,2018
Arbeitsplatz Software Schale 2,1596.0,2021.01,2018
Arbeitsplatz Software Schale 2,240.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,100.0,2021.01,2018
Arbeitsplatz Software Schale 3,100.0,2021.01,2018
Arbeitsplatz Software Schale 3,75.0,2021.01,2018
Arbeitsplatz Software Schale 3,125.0,2021.01,2018
Arbeitsplatz Software Schale 3,933.0,2021.01,2018
Arbeitsplatz Software Schale 3,506.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,323.0,2021.01,2018
Arbeitsplatz Software Schale 2,91.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
